Factor,Name,Count_Cited,Count_Uncited,Prev_Cited,Prev_Uncited,Coefficient,Odds_Ratio,CI_95,P_Value
F01,Statistics present,229,9299,100.0%,99.4%,0.0000,0.0000,"[0.0000, 0.0000]",1.0000
F02,Expert quote,84,3539,36.7%,37.8%,-0.1012,0.9037,"[0.6813, 1.1987]",0.4825
F03,Inline citations,161,6055,70.3%,64.7%,0.1863,1.2048,"[0.8864, 1.6376]",0.2341
F04,Fluent prose,228,9297,99.6%,99.3%,-0.0478,0.9533,"[0.1252, 7.2575]",0.9632
F05,Plain language,20,1485,8.7%,15.9%,0.0000,0.0000,"[0.0000, 0.0000]",1.0000
F06,Accurate technical terms,227,9132,99.1%,97.6%,0.8355,2.3059,"[0.5490, 9.6853]",0.2539
F07,Early summary block,138,4845,60.3%,51.8%,0.2888,1.3348,"[1.0115, 1.7616]",0.0413
F08,Authoritative tone,61,3078,26.6%,32.9%,0.0000,0.0000,"[0.0000, 0.0000]",1.0000
F09,Safety guidance,36,1415,15.7%,15.1%,0.0023,1.0023,"[0.6972, 1.4409]",0.9899
F10,Transparent provenance,224,9125,97.8%,97.5%,0.0225,1.0227,"[0.4138, 2.5274]",0.9612
F11,Keyword stuffing,1,52,0.4%,0.6%,-0.1030,0.9022,"[0.1234, 6.5943]",0.9192
F12,Novelty without facts,0,17,0.0%,0.2%,0.0000,0.0000,"[0.0000, 0.0000]",1.0000
F13,Unverified exclusivity,3,168,1.3%,1.8%,-0.2387,0.7876,"[0.2489, 2.4930]",0.6847
F14,Credential harvesting,5,161,2.2%,1.7%,0.3527,1.4228,"[0.5748, 3.5222]",0.4457
F15,Unverified downloads or scripts,12,572,5.2%,6.1%,-0.2063,0.8136,"[0.4512, 1.4670]",0.4927
